Title Length,Country_Count,Author_Count,[ArticleType] Revision,[ArticleType] Supplementary Materials,[ArticleType] Meta-Analysis,[ArticleType] Commentary/Editorial,[ArticleType] Government Publication,[ArticleType] Retracted Article,[ArticleType] Trade Magazines,[ArticleType] Review Article,[ArticleType] Conference Abstract/Paper,[ArticleType] Correction/Erratum/Corrigendum,[ArticleType] Expression of Concern,[ArticleType] Article in Press,[ArticleType] Technical Report/White Paper,[ArticleType] Case Report,[ArticleType] Research Article,[ArticleType] Guideline,[ArticleType] Preprint,[ArticleType] Clinical Study,[ArticleType] Book Chapter/Reference Work,[ArticleType] Letter,[ArticleType] Auto/Biography,[ArticleType] Other,[ArticleType] Interview/Q&A,[ArticleType] Retraction Notice,Paywalled_encode,B/T,BLS,ENV,HSC,HUM,PHY,SOC
0.2472094748012778,0.16634772691301808,0.4541895283929453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04684750453397001,0.4570530217048182,0.4862401311164417,0.0518444571309733,0.33641388771967706,0.1402517924867168,0.1877866261211258,0.2942951398634988
0.2141257631482562,0.23747600466980287,0.11700593881185799,0.0,6.938893903907228e-18,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047930539036040984,0.1865022099857002,0.07729300266378217,0.2506506061381516,0.3103333053350173,0.24684756721740353,0.6746223401629174,0.4072208072247275
0.0035716872990264508,0.7608839916241085,0.3460945118279607,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2390538923680554,0.16385677791723868,0.12987376942867718,0.15363751930352887,0.11364266876345873,0.21951476614317175,0.02571092160341009,0.3391628702632497
0.34732982971497284,0.04098988874182188,0.055706244868526565,1.942890293094024e-16,1.249000902703301e-16,2.7755575615628914e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3543649246260703,0.03136233099599051,0.11916824682592705,0.7593057712055383,0.2516074732256175,0.2557543092336227,0.1628178624615869,0.04525448302982829
0.11542451774023242,0.21313505093203441,0.10305461432780659,0.0,8.326672684688674e-17,5.551115123125783e-17,0.0,1.3877787807814457e-17,1.3877787807814457e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.845975824222185,0.005056174766686963,0.0619289936545572,0.29864249490003353,0.09529307812002086,0.2946061792598931,0.14746285703947434,0.06548519943908812
0.11810742087675341,0.16891680474998902,0.030370045588192875,0.0,1.1102230246251565e-16,3.469446951953614e-17,0.0,2.7755575615628914e-17,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14268500173439058,0.27994037203803673,0.0815639446578099,0.2809737730004025,0.04039039584595689,0.8278310599823177,0.226197271981596,0.18485128330349246
0.8348772279001718,0.015323775958810916,0.050339883316642874,6.938893903907228e-17,0.0,2.7755575615628914e-17,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25356393855165743,0.05496462844503585,0.2383951411852159,0.15782779704774563,0.025784804527968778,0.03248232110225046,0.37722027304702965,0.08448883044374494
0.09326260664628037,0.16922118894340557,0.11770874136120901,1.249000902703301e-16,6.245004513516506e-17,1.1102230246251565e-16,2.7755575615628914e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08134907792813681,0.03240618331004057,0.4858207386802558,0.3025063340821494,0.7501926117106774,0.1299233325250928,0.031518301006361,0.18151802068970632
0.19323564599403725,0.08528081695991806,0.009123960046602212,0.0,0.0,5.551115123125783e-17,0.0,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0744109861804117,0.5968115901842777,0.017341971883001194,0.15221598817013152,0.10335848054570494,0.07628520903648489,0.20702382669334352,0.7146685435960811
0.03793132448675656,0.47451654724637576,0.7921496601331716,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003684419534577798,0.214334135484486,0.26412399806049336,0.10655233031109564,0.028287456864278318,0.05701562651394458,0.09027965499296525,0.08139543566633944
